table_name,field_name,data_type,unit_or_format,meaning,value_rule
resettlement_scheme_building_plan.csv,renewal_area_id,string,-,更新片区编号,关联键
resettlement_scheme_building_plan.csv,block_id,string,-,原居住街坊编号,关联键
resettlement_scheme_building_plan.csv,parcel_id,string,-,候选建设地块编号,关联键
resettlement_scheme_building_plan.csv,phase_id,string,-,建设分期编号,P1至P4
resettlement_scheme_building_plan.csv,building_type,string,-,新建建筑类型,高层/小高层/配套
resettlement_scheme_building_plan.csv,unit_type,string,-,安置户型,一居至四居/配套
resettlement_scheme_building_plan.csv,planned_resettlement_units,integer,户,计划安置户数,非负整数
resettlement_scheme_building_plan.csv,average_unit_area_m2,float,m2,平均套内面积教学估计,正数
resettlement_scheme_building_plan.csv,estimated_gfa_m2,float,m2,估算总建筑面积,正数
resettlement_scheme_building_plan.csv,building_height_floors,integer,层,建筑层数,正整数
resettlement_scheme_building_plan.csv,plot_ratio,float,-,容积率教学参数,正数
resettlement_scheme_building_plan.csv,prefabrication_rate,float,0-1,装配式比例教学参数,0至1
resettlement_scheme_building_plan.csv,parking_spaces,integer,个,估算停车位,非负整数
resettlement_scheme_building_plan.csv,public_service_area_m2,float,m2,配套服务面积,非负
resettlement_scheme_building_plan.csv,green_area_m2,float,m2,绿地面积,非负
resettlement_scheme_building_plan.csv,expected_delivery_month,integer,月,预计交付月序,正整数
resettlement_scheme_building_plan.csv,land_preparation_cost_million,float,百万元,土地整理估算投资,非负
resettlement_scheme_building_plan.csv,construction_cost_million,float,百万元,建造估算投资,非负
resettlement_scheme_building_plan.csv,temporary_housing_cost_million,float,百万元,过渡安置估算投资,非负
resettlement_scheme_building_plan.csv,infrastructure_cost_million,float,百万元,市政配套估算投资,非负
resettlement_scheme_building_plan.csv,design_carbon_tco2e,float,tCO2e,设计与材料阶段碳排估计,非负
resettlement_scheme_building_plan.csv,transport_carbon_tco2e,float,tCO2e,材料运输碳排估计,非负
resettlement_scheme_building_plan.csv,operation_carbon_30y_tco2e,float,tCO2e,30年运行碳排情景估计,非负
resettlement_scheme_building_plan.csv,schedule_risk_index,float,0-1,建设进度风险教学指数,越高风险越大
resettlement_scheme_building_plan.csv,data_quality_flag,string,-,数据质量标记,正常或说明文字
resettlement_scheme_building_plan.csv,source_system,string,-,教学来源系统,Scenario-Planning
scheme_multi_scenario_assessment.csv,assessment_id,string,-,方案情景评估编号,主键
scheme_multi_scenario_assessment.csv,scheme_id,string,-,备选方案编号,关联键
scheme_multi_scenario_assessment.csv,renewal_area_id,string,-,更新片区编号,关联键
scheme_multi_scenario_assessment.csv,evaluation_round,string,-,方案测算轮次,R1至R4
scheme_multi_scenario_assessment.csv,price_scenario,string,-,价格情景,低位/基准/上行
scheme_multi_scenario_assessment.csv,resettlement_willingness_scenario,string,-,安置意愿情景,保守/基准/积极
scheme_multi_scenario_assessment.csv,construction_rate_scenario,string,-,建设价格变化情景,平稳/波动
scheme_multi_scenario_assessment.csv,resettlement_capacity_households,integer,户,可安置户数估计,正整数
scheme_multi_scenario_assessment.csv,target_coverage_pct,float,%,目标住户覆盖率,0至100
scheme_multi_scenario_assessment.csv,estimated_total_investment_million,float,百万元,方案总投资估计,正数
scheme_multi_scenario_assessment.csv,investment_per_household_million,float,百万元/户,户均投资估计,正数
scheme_multi_scenario_assessment.csv,estimated_total_carbon_tco2e,float,tCO2e,方案全周期教学碳排估计,正数
scheme_multi_scenario_assessment.csv,expected_completion_months,integer,月,预计完成周期,正整数
scheme_multi_scenario_assessment.csv,peak_temporary_households,integer,户,过渡期峰值住户数,非负整数
scheme_multi_scenario_assessment.csv,public_service_access_score,float,0-100,公共服务可达教学评分,越高越好
scheme_multi_scenario_assessment.csv,resettlement_satisfaction_score,float,0-100,安置匹配教学评分,越高越好
scheme_multi_scenario_assessment.csv,financial_feasibility_score,float,0-100,资金可行性教学评分,越高越好
scheme_multi_scenario_assessment.csv,overall_risk_index,float,0-1,综合风险教学指数,越高风险越大
scheme_multi_scenario_assessment.csv,early_review_flag,integer,0/1,需进一步核对的方案情景标记,0或1
scheme_multi_scenario_assessment.csv,data_quality_flag,string,-,数据质量标记,正常或说明文字
scheme_multi_scenario_assessment.csv,source_system,string,-,教学来源系统,Scenario-Assessment
